,Mkt-RF,SMB,HML,RMW,CMA,Rf
20140609,0.22,1.01,-0.31,-0.41,-0.05,2.65
20140610,-0.03,-0.19,-0.03,-0.35,0.07,2.58
20140611,-0.34,-0.18,-0.23,-0.15,-0.14,2.60
20140612,-0.68,0.1,0.17,-0.25,-0.02,2.61
20140613,0.31,-0.05,-0.18,0.1,-0.1,2.66
20140616,0.13,0.41,-0.69,-0.08,-0.29,2.61
20140617,0.34,0.56,0.45,-0.52,0.04,2.64
20140618,0.75,-0.24,-0.09,0.06,-0.21,2.63
20140619,0.12,-0.14,-0.04,0.17,-0.08,2.63
20140620,0.18,0.2,0.05,0.03,0.03,2.59
20140623,-0.01,-0.23,0.1,-0.05,-0.18,2.57
20140624,-0.72,-0.37,-0.26,0,0.03,2.53
20140625,0.53,0.34,0.16,-0.13,-0.25,2.54
20140626,-0.11,-0.09,0.02,0.12,-0.05,2.53
20140627,0.26,0.48,-0.22,0.13,-0.14,2.58
20140630,0.07,0.27,0.17,-0.28,-0.17,2.64
20140701,0.74,0.43,-0.39,0.07,-0.1,2.65
20140702,-0.03,-0.46,-0.21,0.08,0.22,2.63
20140703,0.59,0.21,0.11,0.01,0.21,2.58
20140707,-0.62,-1.2,0.34,0.76,0.26,2.57
20140708,-0.82,-0.55,0.72,0.81,0.39,2.55
20140709,0.46,-0.4,-0.12,-0.04,-0.06,2.53
20140710,-0.49,-0.6,-0.02,0.07,0.06,2.55
20140711,0.12,-0.3,-0.38,-0.39,-0.1,2.56
20140714,0.46,-0.02,-0.12,0.02,-0.13,2.55
20140715,-0.32,-0.82,1.01,0.22,0.33,2.47
20140716,0.32,-0.6,0.36,0.18,0.16,2.50
20140717,-1.21,-0.35,0.19,0.42,0.15,2.49
20140718,1.12,0.46,-0.45,-0.26,-0.28,2.48
20140721,-0.25,-0.24,0.06,-0.34,-0.26,2.48
20140722,0.53,0.28,-0.31,0.19,-0.19,2.52
20140723,0.19,0.12,-0.77,-0.24,0.05,2.48
